,Genotype,BLUEs,ExperimentalSite,IRDNC_ID
522,Genotype522,3978.77907,MMYezin,IRD10633
523,Genotype523,1124.798748,BDTanore,IRD10633
524,Genotype524,1900.948588,IRRIHNT,IRD10633
525,Genotype525,2084.795058,MMKyaukse,IRD10633
526,Genotype526,4066.148844,IRRICT,IRD10633
527,Genotype527,2703.081395,BDLalpur,IRD10633
528,Genotype528,1958.8369,MMPangkone,IRD10633
529,Genotype529,2553.516906,IRRIHNT,IRD10899
530,Genotype530,3834.318914,MMYezin,IRD10899
531,Genotype531,1984.937114,MMPangkone,IRD10899
532,Genotype532,807.5991354,BDTanore,IRD10899
533,Genotype533,3265.542636,BDLalpur,IRD10899
534,Genotype534,3300.806725,IRRICT,IRD10899
535,Genotype535,2328.094041,MMKyaukse,IRD10899
536,Genotype536,2202.847609,IRRIHNT,IRD10406
537,Genotype537,3799.125955,IRRICT,IRD10406
538,Genotype538,1690.552326,MMPangkone,IRD10298
539,Genotype539,2758.439922,MMYezin,IRD10298
540,Genotype540,376.9230769,BDTanore,IRD10298
541,Genotype541,2785.799946,BDLalpur,IRD10298
542,Genotype542,3349.585756,MMKyaukse,IRD10298
543,Genotype543,2923.840168,IRRIHNT,IRD10298
544,Genotype544,3613.009068,IRRICT,IRD10298
545,Genotype545,2226.295865,IRRIHNT,IRD10702
546,Genotype546,2306.81183,IRRICT,IRD10702
547,Genotype547,3640.017682,MMPangkone,IRD10473
548,Genotype548,3221.296688,MMKyaukse,IRD10473
549,Genotype549,2767.68544,MMYezin,IRD10473
550,Genotype550,1438.636951,BDLalpur,IRD10473
551,Genotype551,464.9001193,BDTanore,IRD10473
552,Genotype552,2551.529284,IRRICT,IRD10473
553,Genotype553,1968.525551,IRRIHNT,IRD10473
554,Genotype554,3830.602525,IRRICT,IRD10381
555,Genotype555,1782.365233,IRRIHNT,IRD10381
556,Genotype556,2741.918605,MMPangkone,IRD10823
557,Genotype557,1650.888382,MMYezin,IRD10823
558,Genotype558,3114.570298,IRRICT,IRD10823
559,Genotype559,1154.359377,BDLalpur,IRD10823
560,Genotype560,1453.991503,BDTanore,IRD10823
561,Genotype561,1680.271834,IRRIHNT,IRD10823
562,Genotype562,2469.738372,MMKyaukse,IRD10823
563,Genotype563,2544.887232,IRRICT,IRD10706
564,Genotype564,1340.645498,BDTanore,IRD10706
565,Genotype565,3496.872871,IRRIHNT,IRD10706
566,Genotype566,3932.414553,MMKyaukse,IRD10706
567,Genotype567,2868.747858,BDLalpur,IRD10706
568,Genotype568,2416.040998,MMPangkone,IRD10706
569,Genotype569,934.0155249,MMYezin,IRD10706
570,Genotype570,2269.640716,IRRIHNT,IRD10618
571,Genotype571,2045.212257,IRRICT,IRD10618
572,Genotype572,1505.202743,BDTanore,IRD10436
573,Genotype573,2449.704339,MMPangkone,IRD10436
574,Genotype574,3001.855727,IRRICT,IRD10436
575,Genotype575,3603.154476,MMYezin,IRD10436
576,Genotype576,3021.51647,IRRIHNT,IRD10436
577,Genotype577,2567.587209,MMKyaukse,IRD10436
578,Genotype578,3871.545543,BDLalpur,IRD10436
579,Genotype579,3224.518135,IRRIHNT,IRD10330
580,Genotype580,4295.728197,IRRICT,IRD10330
581,Genotype581,2484.265081,IRRIHNT,IRD10492
582,Genotype582,2401.27973,IRRICT,IRD10492
583,Genotype583,1140.69213,IRRICT,IRD10481
584,Genotype584,4508.972058,IRRIHNT,IRD10481
585,Genotype585,1923.042636,BDLalpur,IRD10248
586,Genotype586,799.4931425,BDTanore,IRD10248
587,Genotype587,4145.44047,MMYezin,IRD10248
588,Genotype588,2052.743022,IRRICT,IRD10248
589,Genotype589,5514.241752,IRRIHNT,IRD10248
590,Genotype590,3837.345274,MMPangkone,IRD10248
591,Genotype591,3507.839938,MMKyaukse,IRD10248
592,Genotype592,2373.392835,IRRIHNT,IRD10703
593,Genotype593,2857.715473,IRRICT,IRD10703
594,Genotype594,2104.378968,IRRIHNT,IRD10416
595,Genotype595,1420.126582,IRRICT,IRD10416
596,Genotype596,899.8509243,BDTanore,IRD10416
597,Genotype597,2549.480304,MMPangkone,IRD10416
598,Genotype598,1920.347274,MMKyaukse,IRD10416
599,Genotype599,1375.181966,BDLalpur,IRD10416
600,Genotype600,2701.84745,MMYezin,IRD10416
601,Genotype601,1674.111746,IRRICT,IRD10593
602,Genotype602,1433.12847,IRRIHNT,IRD10593
603,Genotype603,5461.747445,IRRICT,IRD10198
604,Genotype604,2173.76615,MMYezin,IRD10198
605,Genotype605,695.9786822,BDTanore,IRD10198
606,Genotype606,5151.59989,IRRIHNT,IRD10198
607,Genotype607,2109.946356,MMPangkone,IRD10198
608,Genotype608,1723.301034,BDLalpur,IRD10198
609,Genotype609,2013.110465,MMKyaukse,IRD10198
610,Genotype610,2379.697278,IRRICT,IRD10700
611,Genotype611,2963.024826,IRRIHNT,IRD10700
612,Genotype612,2566.831331,IRRIHNT,IRD10201
613,Genotype613,2896.248356,IRRICT,IRD10201
614,Genotype614,3668.326723,IRRICT,IRD10261
615,Genotype615,2455.367557,IRRIHNT,IRD10261
616,Genotype616,1478.72093,MMPangkone,IRD10762
617,Genotype617,2963.214265,MMKyaukse,IRD10762
618,Genotype618,3708.195949,IRRICT,IRD10762
619,Genotype619,3275.158038,IRRIHNT,IRD10762
620,Genotype620,1654.531902,BDTanore,IRD10762
621,Genotype621,1650.901163,BDLalpur,IRD10762
622,Genotype622,3816.290242,MMYezin,IRD10762
623,Genotype623,1841.318251,IRRICT,IRD10383
624,Genotype624,1262.286673,IRRIHNT,IRD10383
625,Genotype625,2314.150417,IRRICT,IRD10445
626,Genotype626,385.9421586,BDTanore,IRD10445
627,Genotype627,1968.343246,IRRIHNT,IRD10445
628,Genotype628,1802.756783,BDLalpur,IRD10445
629,Genotype629,3351.860621,MMPangkone,IRD10445
630,Genotype630,1634.484012,MMYezin,IRD10445
631,Genotype631,1631.831395,MMKyaukse,IRD10445
632,Genotype632,1749.551353,IRRIHNT,IRD10325
633,Genotype633,427.8971757,IRRICT,IRD10325
634,Genotype634,3939.149892,IRRIHNT,IRD10833
635,Genotype635,2758.789762,IRRICT,IRD10833
636,Genotype636,4691.133721,MMKyaukse,IRD10928
637,Genotype637,3018.078335,MMPangkone,IRD10928
638,Genotype638,5168.808584,IRRICT,IRD10928
639,Genotype639,4669.886723,MMYezin,IRD10928
640,Genotype640,601.3305009,BDTanore,IRD10928
641,Genotype641,1903.42486,BDLalpur,IRD10928
642,Genotype642,5356.391751,IRRIHNT,IRD10928
643,Genotype643,2206.402035,MMKyaukse,IRD10980
644,Genotype644,1503.914729,BDLalpur,IRD10980
645,Genotype645,1870.507827,IRRIHNT,IRD10980
646,Genotype646,646.9141324,BDTanore,IRD10980
647,Genotype647,2781.453488,MMPangkone,IRD10980
648,Genotype648,3423.852409,MMYezin,IRD10980
649,Genotype649,4915.505065,IRRICT,IRD10980
650,Genotype650,2143.955631,BDLalpur,IRD10705
651,Genotype651,2999.967784,MMPangkone,IRD10705
652,Genotype652,833.1786673,BDTanore,IRD10705
653,Genotype653,4895.871537,IRRIHNT,IRD10705
654,Genotype654,2960.311017,MMYezin,IRD10705
655,Genotype655,4560.05814,MMKyaukse,IRD10705
656,Genotype656,4845.377424,IRRICT,IRD10705
657,Genotype657,1636.124031,MMPangkone,IRD10299
658,Genotype658,1372.215762,BDLalpur,IRD10299
659,Genotype659,1174.000175,IRRIHNT,IRD10299
660,Genotype660,2451.634729,MMKyaukse,IRD10299
661,Genotype661,3135.248892,MMYezin,IRD10299
662,Genotype662,757.960644,BDTanore,IRD10299
663,Genotype663,425.4287787,IRRICT,IRD10299
664,Genotype664,642.5536673,BDTanore,IRD10760
665,Genotype665,2376.22093,MMPangkone,IRD10760
666,Genotype666,2179.284304,MMYezin,IRD10760
667,Genotype667,4591.626109,MMKyaukse,IRD10760
668,Genotype668,2668.556202,BDLalpur,IRD10760
669,Genotype669,1181.781842,IRRIHNT,IRD10760
670,Genotype670,1303.018431,IRRICT,IRD10760
671,Genotype671,4098.343023,MMKyaukse,IRD10496
672,Genotype672,3167.533238,IRRICT,IRD10496
673,Genotype673,3215.707364,MMPangkone,IRD10496
674,Genotype674,2005.994832,BDLalpur,IRD10496
675,Genotype675,1381.204834,MMYezin,IRD10496
676,Genotype676,2086.311016,IRRIHNT,IRD10496
677,Genotype677,762.5521765,BDTanore,IRD10496
678,Genotype678,2481.780796,IRRIHNT,IRD10215
679,Genotype679,3086.688944,IRRICT,IRD10215
680,Genotype680,2252.164083,BDLalpur,IRD10424
681,Genotype681,2569.04715,IRRICT,IRD10424
682,Genotype682,1043.70155,BDTanore,IRD10424
683,Genotype683,3089.248636,MMKyaukse,IRD10424
684,Genotype684,2133.219121,IRRIHNT,IRD10424
685,Genotype685,3416.901574,MMPangkone,IRD10424
686,Genotype686,1233.583481,MMYezin,IRD10424
687,Genotype687,4032.126558,IRRICT,IRD10749
688,Genotype688,3773.989069,IRRIHNT,IRD10749
689,Genotype689,2192.596193,IRRICT,IRD10176
690,Genotype690,2134.615633,BDLalpur,IRD10176
691,Genotype691,1821.442049,IRRIHNT,IRD10176
692,Genotype692,1921.805023,MMKyaukse,IRD10176
693,Genotype693,1353.749255,BDTanore,IRD10176
694,Genotype694,3047.082872,MMYezin,IRD10176
695,Genotype695,1579.098837,MMPangkone,IRD10176
696,Genotype696,3298.617606,MMYezin,IRD10587
697,Genotype697,3058.49582,IRRIHNT,IRD10587
698,Genotype698,573.9937388,BDTanore,IRD10587
699,Genotype699,3635.778198,MMKyaukse,IRD10587
700,Genotype700,3322.015504,BDLalpur,IRD10587
701,Genotype701,2223.69382,IRRICT,IRD10587
702,Genotype702,3585.697674,MMPangkone,IRD10587
703,Genotype703,1948.134863,IRRICT,IRD10564
704,Genotype704,2735.36428,IRRIHNT,IRD10564
705,Genotype705,2558.472546,IRRIHNT,IRD10946
706,Genotype706,1360.786065,IRRICT,IRD10946
707,Genotype707,2595.928935,IRRIHNT,IRD10316
708,Genotype708,3171.647727,IRRICT,IRD10316
709,Genotype709,1624.932146,IRRIHNT,IRD10450
710,Genotype710,2540.591837,IRRICT,IRD10450
711,Genotype711,4743.188818,IRRICT,IRD10528
712,Genotype712,4071.650479,IRRIHNT,IRD10528
713,Genotype713,3228.123959,IRRIHNT,IRD10271
714,Genotype714,3405.524353,IRRICT,IRD10271
715,Genotype715,3625.607484,MMYezin,IRD10743
716,Genotype716,4127.38289,IRRIHNT,IRD10743
717,Genotype717,3544.108527,BDLalpur,IRD10743
718,Genotype718,2863.140984,IRRICT,IRD10743
719,Genotype719,2688.330675,MMPangkone,IRD10743
720,Genotype720,571.4296363,BDTanore,IRD10743
721,Genotype721,3320.991015,MMKyaukse,IRD10743
722,Genotype722,4083.558976,IRRICT,IRD10516
723,Genotype723,4224.418605,MMPangkone,IRD10516
724,Genotype724,2827.788055,MMKyaukse,IRD10516
725,Genotype725,2087.87023,MMYezin,IRD10516
726,Genotype726,713.0702147,BDTanore,IRD10516
727,Genotype727,3262.935586,IRRIHNT,IRD10516
728,Genotype728,2650.565245,BDLalpur,IRD10516
729,Genotype729,3458.648431,MMYezin,IRD10430
730,Genotype730,843.6531008,BDTanore,IRD10430
731,Genotype731,3623.077182,IRRICT,IRD10430
732,Genotype732,2338.410559,MMPangkone,IRD10430
733,Genotype733,3903.792764,IRRIHNT,IRD10430
734,Genotype734,1915.652455,BDLalpur,IRD10430
735,Genotype735,2141.688689,MMKyaukse,IRD10430
736,Genotype736,1802.764544,IRRICT,IRD10464
737,Genotype737,2118.50694,IRRIHNT,IRD10464
738,Genotype738,621.3625522,BDTanore,IRD10766
739,Genotype739,2207.446846,IRRICT,IRD10766
740,Genotype740,3311.507262,MMYezin,IRD10766
741,Genotype741,2267.289826,MMKyaukse,IRD10766
742,Genotype742,2401.724806,BDLalpur,IRD10766
743,Genotype743,3137.851941,IRRIHNT,IRD10766
744,Genotype744,2513.488372,MMPangkone,IRD10766
745,Genotype745,4818.633024,IRRIHNT,IRD10419
746,Genotype746,422.1526535,BDTanore,IRD10419
747,Genotype747,5710.424039,MMYezin,IRD10419
748,Genotype748,3196.836925,IRRICT,IRD10419
749,Genotype749,3202.034884,MMKyaukse,IRD10419
750,Genotype750,2261.983204,BDLalpur,IRD10419
751,Genotype751,3397.918135,MMPangkone,IRD10419
752,Genotype752,2893.074964,IRRIHNT,IRD10609
753,Genotype753,2219.400512,IRRICT,IRD10609
754,Genotype754,2732.162603,IRRIHNT,IRD10669
755,Genotype755,2191.48574,IRRICT,IRD10669
756,Genotype756,2477.037044,IRRIHNT,IRD10584
757,Genotype757,2102.389317,IRRICT,IRD10584
758,Genotype758,3816.508068,MMPangkone,IRD10353
759,Genotype759,2302.474184,IRRICT,IRD10353
760,Genotype760,2359.552689,IRRIHNT,IRD10353
761,Genotype761,989.1547406,BDTanore,IRD10353
762,Genotype762,1810.193798,BDLalpur,IRD10353
763,Genotype763,2659.948791,MMYezin,IRD10353
764,Genotype764,2923.341279,MMKyaukse,IRD10353
765,Genotype765,3024.655065,IRRICT,IRD10278
766,Genotype766,3047.295617,IRRIHNT,IRD10278
767,Genotype767,2045.26377,BDLalpur,IRD10932
768,Genotype768,1892.220241,IRRICT,IRD10932
769,Genotype769,3032.44186,MMPangkone,IRD10932
770,Genotype770,3551.868996,MMYezin,IRD10932
771,Genotype771,2195.957341,IRRIHNT,IRD10932
772,Genotype772,476.7590936,BDTanore,IRD10932
773,Genotype773,3097.024205,MMKyaukse,IRD10932
774,Genotype774,1523.242858,IRRIHNT,IRD10887
775,Genotype775,2737.288278,IRRICT,IRD10887
776,Genotype776,3075.003978,IRRIHNT,IRD10323
777,Genotype777,2384.578539,IRRICT,IRD10323
778,Genotype778,2470.747739,BDLalpur,IRD10835
779,Genotype779,1889.523785,IRRICT,IRD10835
780,Genotype780,2477.822463,IRRIHNT,IRD10835
781,Genotype781,279.6288014,BDTanore,IRD10835
782,Genotype782,2785.944767,MMKyaukse,IRD10835
783,Genotype783,4068.652048,MMYezin,IRD10835
784,Genotype784,3347.469744,MMPangkone,IRD10835
785,Genotype785,2672.896574,MMYezin,IRD10578
786,Genotype786,2039.981481,IRRIHNT,IRD10578
787,Genotype787,2776.033592,MMPangkone,IRD10578
788,Genotype788,662.2093023,BDTanore,IRD10578
789,Genotype789,1712.755168,BDLalpur,IRD10578
790,Genotype790,2536.378238,IRRICT,IRD10578
791,Genotype791,2803.81504,MMKyaukse,IRD10578
792,Genotype792,3008.902616,MMPangkone,IRD10169
793,Genotype793,1622.9592,IRRIHNT,IRD10169
794,Genotype794,2112.118882,MMKyaukse,IRD10169
795,Genotype795,2583.600556,MMYezin,IRD10169
796,Genotype796,2766.247858,BDLalpur,IRD10169
797,Genotype797,2955.546351,IRRICT,IRD10169
798,Genotype798,1084.853906,BDTanore,IRD10169
799,Genotype799,1949.825844,IRRICT,IRD10871
800,Genotype800,3310.229249,IRRIHNT,IRD10871
801,Genotype801,3331.950904,BDLalpur,IRD10984
802,Genotype802,1870.318562,IRRICT,IRD10984
803,Genotype803,1986.370475,MMPangkone,IRD10984
804,Genotype804,3006.136373,IRRIHNT,IRD10984
805,Genotype805,2078.59811,MMKyaukse,IRD10984
806,Genotype806,956.8239416,BDTanore,IRD10984
807,Genotype807,3152.649266,MMYezin,IRD10984
808,Genotype808,4531.73425,IRRICT,IRD10269
809,Genotype809,733.0873584,BDTanore,IRD10269
810,Genotype810,3775.899021,BDLalpur,IRD10269
811,Genotype811,4160.673944,MMPangkone,IRD10269
812,Genotype812,4005.065407,MMKyaukse,IRD10269
813,Genotype813,5550.155104,IRRIHNT,IRD10269
814,Genotype814,4737.740142,MMYezin,IRD10269
815,Genotype815,3325.015575,IRRICT,IRD10894
816,Genotype816,2895.951495,IRRIHNT,IRD10894
817,Genotype817,2282.936047,MMPangkone,IRD10508
818,Genotype818,598.6135957,BDTanore,IRD10508
819,Genotype819,4828.017197,IRRICT,IRD10508
820,Genotype820,4951.262236,MMYezin,IRD10508
821,Genotype821,2488.037791,BDLalpur,IRD10508
822,Genotype822,4578.46953,IRRIHNT,IRD10508
823,Genotype823,2306.627907,MMKyaukse,IRD10508
824,Genotype824,2808.313953,MMPangkone,IRD10417
825,Genotype825,2995.404406,IRRICT,IRD10417
826,Genotype826,2357.320736,MMYezin,IRD10417
827,Genotype827,3891.206395,MMKyaukse,IRD10417
828,Genotype828,454.7704234,BDTanore,IRD10417
829,Genotype829,1256.350129,BDLalpur,IRD10417
830,Genotype830,3209.969958,IRRIHNT,IRD10417
831,Genotype831,1830.451417,MMYezin,IRD10786
832,Genotype832,786.9587709,IRRIHNT,IRD10786
833,Genotype833,3188.5153,BDLalpur,IRD10786
834,Genotype834,977.2584973,BDTanore,IRD10786
835,Genotype835,-41.11129342,IRRICT,IRD10786
836,Genotype836,2858.032748,MMPangkone,IRD10786
837,Genotype837,3617.965116,MMKyaukse,IRD10786
838,Genotype838,488.442904,BDTanore,IRD10963
839,Genotype839,5392.264216,IRRICT,IRD10963
840,Genotype840,1372.601744,BDLalpur,IRD10963
841,Genotype841,2408.309109,MMPangkone,IRD10963
842,Genotype842,3134.480198,IRRIHNT,IRD10963
843,Genotype843,2794.341085,MMYezin,IRD10963
844,Genotype844,2642.427326,MMKyaukse,IRD10963
845,Genotype845,3897.446802,MMKyaukse,IRD10232
846,Genotype846,1456.24526,MMYezin,IRD10232
847,Genotype847,5449.749818,IRRIHNT,IRD10232
848,Genotype848,739.7957662,BDTanore,IRD10232
849,Genotype849,1981.576227,BDLalpur,IRD10232
850,Genotype850,2286.075908,MMPangkone,IRD10232
851,Genotype851,3916.079833,IRRICT,IRD10232
852,Genotype852,1638.202519,MMPangkone,IRD10795
853,Genotype853,2065.555378,MMKyaukse,IRD10795
854,Genotype854,3345.840877,IRRICT,IRD10795
855,Genotype855,4317.591642,MMYezin,IRD10795
856,Genotype856,953.8647883,BDTanore,IRD10795
857,Genotype857,1618.401122,IRRIHNT,IRD10795
858,Genotype858,2621.020672,BDLalpur,IRD10795
859,Genotype859,2075.80509,IRRIHNT,IRD10675
860,Genotype860,2441.28495,IRRICT,IRD10675
861,Genotype861,1356.596052,IRRIHNT,IRD10661
862,Genotype862,2804.821301,IRRICT,IRD10661
863,Genotype863,2040.125025,IRRIHNT,IRD10295
864,Genotype864,1954.457364,BDLalpur,IRD10295
865,Genotype865,3076.662158,IRRICT,IRD10295
866,Genotype866,2462.215263,MMYezin,IRD10295
867,Genotype867,2216.758721,MMPangkone,IRD10295
868,Genotype868,976.5503876,BDTanore,IRD10295
869,Genotype869,2348.74694,MMKyaukse,IRD10295
870,Genotype870,621.3550984,BDTanore,IRD10164
871,Genotype871,3676.507423,IRRIHNT,IRD10164
872,Genotype872,4408.292783,MMYezin,IRD10164
873,Genotype873,2875.23526,IRRICT,IRD10164
874,Genotype874,1817.809797,MMKyaukse,IRD10164
875,Genotype875,3764.292636,MMPangkone,IRD10164
876,Genotype876,1093.218142,BDLalpur,IRD10164
877,Genotype877,2384.793514,IRRICT,IRD10319
878,Genotype878,2265.217993,IRRIHNT,IRD10319
879,Genotype879,4113.35131,IRRICT,IRD10642
880,Genotype880,3508.115434,IRRIHNT,IRD10642
881,Genotype881,683.6165772,BDTanore,IRD10444
882,Genotype882,4042.877907,MMKyaukse,IRD10444
883,Genotype883,2862.303005,IRRICT,IRD10444
884,Genotype884,3460.560254,MMPangkone,IRD10444
885,Genotype885,4062.901101,IRRIHNT,IRD10444
886,Genotype886,4414.0302,MMYezin,IRD10444
887,Genotype887,1356.26615,BDLalpur,IRD10444
888,Genotype888,3568.57463,IRRICT,IRD10292
889,Genotype889,3793.604651,MMPangkone,IRD10292
890,Genotype890,2396.340439,BDLalpur,IRD10292
891,Genotype891,462.9919499,BDTanore,IRD10292
892,Genotype892,3224.912689,IRRIHNT,IRD10292
893,Genotype893,2644.568169,MMKyaukse,IRD10292
894,Genotype894,1761.245108,MMYezin,IRD10292
895,Genotype895,1888.957031,IRRICT,IRD10588
896,Genotype896,2377.222222,BDLalpur,IRD10588
897,Genotype897,1748.207264,MMPangkone,IRD10588
898,Genotype898,947.6073345,BDTanore,IRD10588
899,Genotype899,1365.036373,IRRIHNT,IRD10588
900,Genotype900,2299.375,MMKyaukse,IRD10588
901,Genotype901,3578.397613,MMYezin,IRD10588
902,Genotype902,1022.160107,BDTanore,IRD10475
903,Genotype903,1823.80814,BDLalpur,IRD10475
904,Genotype904,2518.719609,MMKyaukse,IRD10475
905,Genotype905,3423.233791,MMPangkone,IRD10475
906,Genotype906,4261.165351,IRRIHNT,IRD10475
907,Genotype907,3643.76757,MMYezin,IRD10475
908,Genotype908,3535.598729,IRRICT,IRD10475
909,Genotype909,730.8921728,IRRIHNT,IRD10581
910,Genotype910,1582.48639,IRRICT,IRD10581
911,Genotype911,3267.955373,MMYezin,IRD10874
912,Genotype912,3740.85512,IRRICT,IRD10874
913,Genotype913,730.0946631,BDTanore,IRD10874
914,Genotype914,3009.690407,MMKyaukse,IRD10874
915,Genotype915,2414.237726,BDLalpur,IRD10874
916,Genotype916,2393.372093,MMPangkone,IRD10874
917,Genotype917,5219.414554,IRRIHNT,IRD10874
918,Genotype918,906.0077519,BDTanore,IRD10289
919,Genotype919,4030.66033,MMPangkone,IRD10289
920,Genotype920,3136.066559,MMYezin,IRD10289
921,Genotype921,430.3165218,IRRIHNT,IRD10289
922,Genotype922,2830.174419,MMKyaukse,IRD10289
923,Genotype923,3024.040698,BDLalpur,IRD10289
924,Genotype924,1136.938133,IRRICT,IRD10289
925,Genotype925,3066.9284,MMYezin,IRD10811
926,Genotype926,3779.836457,IRRIHNT,IRD10811
927,Genotype927,1676.207513,BDTanore,IRD10811
928,Genotype928,3963.30392,IRRICT,IRD10811
929,Genotype929,2414.031528,MMPangkone,IRD10811
930,Genotype930,4366.738192,MMKyaukse,IRD10811
931,Genotype931,2653.80491,BDLalpur,IRD10811
932,Genotype932,1821.473341,IRRIHNT,IRD10539
933,Genotype933,2705.045965,IRRICT,IRD10539
934,Genotype934,2508.72093,MMPangkone,IRD10382
935,Genotype935,2479.331395,BDLalpur,IRD10382
936,Genotype936,1944.144639,IRRIHNT,IRD10382
937,Genotype937,2213.334221,IRRICT,IRD10382
938,Genotype938,1816.565056,MMYezin,IRD10382
939,Genotype939,859.2725104,BDTanore,IRD10382
940,Genotype940,2511.627907,MMKyaukse,IRD10382
941,Genotype941,2045.962355,MMKyaukse,IRD10311
942,Genotype942,2749.683463,BDLalpur,IRD10311
943,Genotype943,2165.29235,IRRIHNT,IRD10311
944,Genotype944,1264.244186,BDTanore,IRD10311
945,Genotype945,2851.834692,MMPangkone,IRD10311
946,Genotype946,2498.07978,MMYezin,IRD10311
947,Genotype947,2415.980631,IRRICT,IRD10311
948,Genotype948,2487.120192,IRRICT,IRD10830
949,Genotype949,1186.672572,IRRIHNT,IRD10830
950,Genotype950,2171.028967,MMPangkone,IRD10714
951,Genotype951,2997.038041,IRRICT,IRD10714
952,Genotype952,654.7853309,BDTanore,IRD10714
953,Genotype953,2337.052362,IRRIHNT,IRD10714
954,Genotype954,3441.905685,BDLalpur,IRD10714
955,Genotype955,1813.511298,MMYezin,IRD10714
956,Genotype956,4045.45939,MMKyaukse,IRD10714
957,Genotype957,3105.135659,MMPangkone,IRD10372
958,Genotype958,4592.846539,MMYezin,IRD10372
959,Genotype959,2637.788273,IRRICT,IRD10372
960,Genotype960,3247.894482,IRRIHNT,IRD10372
961,Genotype961,2480.947997,MMKyaukse,IRD10372
962,Genotype962,554.4871795,BDTanore,IRD10372
963,Genotype963,2667.667959,BDLalpur,IRD10372
964,Genotype964,2043.205222,BDLalpur,IRD10274
965,Genotype965,816.6592129,BDTanore,IRD10274
966,Genotype966,2232.122093,MMPangkone,IRD10274
967,Genotype967,1385.673089,IRRICT,IRD10274
968,Genotype968,1150.269178,IRRIHNT,IRD10274
969,Genotype969,3869.353916,MMYezin,IRD10274
970,Genotype970,1665.024695,MMKyaukse,IRD10274
971,Genotype971,2293.19564,MMKyaukse,IRD10902
972,Genotype972,1049.740142,IRRICT,IRD10902
973,Genotype973,3157.18137,MMYezin,IRD10902
974,Genotype974,2777.858527,BDLalpur,IRD10902
975,Genotype975,976.7366342,IRRIHNT,IRD10902
976,Genotype976,928.8461538,BDTanore,IRD10902
977,Genotype977,2607.936927,MMPangkone,IRD10902
978,Genotype978,3072.07127,IRRIHNT,IRD10283
979,Genotype979,2323.914585,IRRICT,IRD10283
980,Genotype980,2214.607577,IRRIHNT,IRD10293
981,Genotype981,2322.443583,IRRICT,IRD10293
982,Genotype982,1244.652535,IRRICT,IRD10558
983,Genotype983,2020.803978,IRRIHNT,IRD10558
984,Genotype984,3395.308713,IRRIHNT,IRD10552
985,Genotype985,4491.908313,IRRICT,IRD10552
986,Genotype986,4005.878009,MMYezin,IRD10195
987,Genotype987,3084.186493,IRRIHNT,IRD10195
988,Genotype988,3926.448116,BDLalpur,IRD10195
989,Genotype989,2080.86346,MMPangkone,IRD10195
990,Genotype990,1797.963227,MMKyaukse,IRD10195
991,Genotype991,671.9588551,BDTanore,IRD10195
992,Genotype992,3521.841145,IRRICT,IRD10195
993,Genotype993,4064.868296,MMPangkone,IRD10277
994,Genotype994,2470.718529,MMYezin,IRD10277
995,Genotype995,2050.66376,BDLalpur,IRD10277
996,Genotype996,2261.991279,MMKyaukse,IRD10277
997,Genotype997,539.1920095,BDTanore,IRD10277
998,Genotype998,4922.844485,IRRICT,IRD10277
999,Genotype999,2480.016852,IRRIHNT,IRD10277
1000,Genotype1000,2552.481588,IRRICT,IRD10649
1001,Genotype1001,2792.205838,IRRIHNT,IRD10649
1002,Genotype1002,1466.778198,MMKyaukse,IRD10876
1003,Genotype1003,3323.87362,MMPangkone,IRD10876
1004,Genotype1004,1641.957364,BDLalpur,IRD10876
1005,Genotype1005,2299.314203,MMYezin,IRD10876
1006,Genotype1006,3276.596918,IRRIHNT,IRD10876
1007,Genotype1007,549.2061717,BDTanore,IRD10876
1008,Genotype1008,3859.215227,IRRICT,IRD10876
1009,Genotype1009,3661.84593,MMKyaukse,IRD10826
1010,Genotype1010,2075.187572,IRRIHNT,IRD10826
1011,Genotype1011,3403.451774,MMYezin,IRD10826
1012,Genotype1012,3114.574731,BDLalpur,IRD10826
1013,Genotype1013,2134.335548,MMPangkone,IRD10826
1014,Genotype1014,642.7698271,BDTanore,IRD10826
1015,Genotype1015,1325.062276,IRRICT,IRD10826
1016,Genotype1016,2329.300211,IRRIHNT,IRD10273
1017,Genotype1017,622.1042039,BDTanore,IRD10273
1018,Genotype1018,4003.467608,MMPangkone,IRD10273
1019,Genotype1019,4199.038249,MMYezin,IRD10273
1020,Genotype1020,2450,MMKyaukse,IRD10273
1021,Genotype1021,2143.262274,BDLalpur,IRD10273
1022,Genotype1022,2508.695403,IRRICT,IRD10273
1023,Genotype1023,3857.549048,IRRIHNT,IRD10922
1024,Genotype1024,4564.081922,IRRICT,IRD10922
1025,Genotype1025,3502.712816,IRRIHNT,IRD10919
1026,Genotype1026,2724.794897,MMYezin,IRD10919
1027,Genotype1027,3147.732123,IRRICT,IRD10919
1028,Genotype1028,1701.858576,MMKyaukse,IRD10919
1029,Genotype1029,361.1210495,BDTanore,IRD10919
1030,Genotype1030,2673.006051,MMPangkone,IRD10919
1031,Genotype1031,2014.321705,BDLalpur,IRD10919
1032,Genotype1032,2048.523274,IRRIHNT,IRD10491
1033,Genotype1033,2216.030762,IRRICT,IRD10491
1034,Genotype1034,2737.478437,MMYezin,IRD10340
1035,Genotype1035,788.6106142,BDTanore,IRD10340
1036,Genotype1036,2324.680233,MMPangkone,IRD10340
1037,Genotype1037,1734.093462,IRRIHNT,IRD10340
